Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,Surgery_primary_anaesthetic,Surgery_secondary_anaesthetic,Surgery_tertiary_anaesthetic,Induction_primary_anaesthetic,Induction_secondary_anaesthetic,Induction_tertiary_anaesthetic,ET_administration_route,ET_brain_depth,MCA_occluded,Conscious,Induction_time_hrs,ET_dose,ET_dose_units,ET_volume_uL,ET_dose_pmol,ET_administration_mins,ET_administration_sites,Primary_analgesic,Secondary_analgesic,Antibiotic,Treatment,Treatment_class,Treatment_initial_hour,Treatment_time_class,Infarct_measure_hrs,Infarct_measurement,Histology_stain,Reported_p_value,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment
McCarthy_2014,"McCarthy, C. A.",2014,"Direct angiotensin AT2 receptor stimulation using a novel AT2 receptor agonist, compound 21, evokes neuroprotection in conscious hypertensive rats",b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,NR,NR,330,340,350,1,12,3,12,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,120,20,pmol/uL,NR,NA,NR,1,NR,NA,NR,PD123319,Not yet classified,6,After stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,NS,89.36,14.54,63.19,21.7,mm3,SEM,4.533739219,3.205986809,50.36803748,2.555455986,75.17100505
Moyanova_2007,"Moyanova, S. G.",2007,Multimodal assessment of neuroprotection applied to the use of MK-801 in the endothelin-1 model of transient focal brain ischemia,a,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,NR,NR,1,14,1,14,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,372,60,pmol,3,60,3,1,Procaine,NA,Gentamicin,MK-801 (dizocilpine maleate),Not yet classified,0.33,After stroke,72,TTC (ex vivo),NA,<0.05,170.5,22.7,85.5,5.2,mm3,SEM,8.650431253,4.337899543,84.93562268,4.309265483,19.45661841
Moyanova_2011,"Moyanova, S. G.",2011,Protective role for type 4 metabotropic glutamate receptors against ischemic brain damage,a,Rat,Wistar,Male,None,NA,NR,NR,NR,320,377.5,435,1,8,1,8,NR,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,168,150,pmol,3,150,3,1,NR,NA,NR,PHCCC,Not yet classified,0.33,After stroke,72,Other histology (ex vivo),Thionine,<0.05,43.74,5.16,28.52,1.93,mm3,SEM,2.219178082,1.446981228,14.59468396,0.740471028,5.458864351
Moyanova_2013,"Moyanova, S. G.",2013,Age-dependence of sensorimotor and cerebral electroencephalographic asymmetry in rats subjected to unilateral cerebrovascular stroke,a,Rat,Wistar,Male,None,NA,13,15,17,240,260,280,1,11,NA,NA,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,336,150,pmol,3,150,3,1,NR,NA,NR,None,NA,NA,NA,72,TTC (ex vivo),NA,NS,37,5.1,NA,NA,Indirect rLV % hemisphere,SEM,18.5,NA,16.91478643,8.457393215,NA
Moyanova_2013,"Moyanova, S. G.",2013,Age-dependence of sensorimotor and cerebral electroencephalographic asymmetry in rats subjected to unilateral cerebrovascular stroke,b,Rat,Wistar,Male,Aged,NA,48,50,52,350,375,400,1,11,NA,NA,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,336,150,pmol,3,150,3,1,NR,NA,NR,None,NA,NA,NA,72,TTC (ex vivo),NA,NS,41,3.9,NA,NA,Indirect rLV % hemisphere,SEM,20.5,NA,12.93483668,6.467418341,NA
Mu_2017,"Mu, X. P.",2017,Inhibition of Nkcc1 promotes axonal growth and motor recovery in ischemic rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,225,250,1,6,1,6,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,No,Unconscious,0,0.5,ug/uL,2,401.2841091,4,3,NR,NA,NR,Bumetanide,Not yet classified,168,After stroke,792,Other histology (ex vivo),Cresyl violet,NS,126.9,10.1,130.8,12.2,mm3,SD,6.438356164,6.636225266,10.1,0.512430238,12.2
Nguyen_2018,"Nguyen, H. L.",2018,Hypoxic postconditioning enhances functional recovery following endothelin-1 induced middle cerebral artery occlusion in conscious rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,325,350,1,16,1,18,Isoflurane,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,168,120,pmol,6,120,6,1,NR,NA,NR,Hypoxic preconditioning,Not yet classified,24,After stroke,144,Other histology (ex vivo),H&E,<0.0001,19.7,3.08,5.84,1.18,mm3,SEM,0.999492643,0.296296296,12.32,0.62506342,4.72
Nishibe_2015,"Nishibe, M.",2015,Rehabilitative training promotes rapid motor recovery but delayed motor map reorganization in a rat cortical ischemic infarct model,a,Rat,Long Evans,Male,None,NA,NR,NR,NR,300,350,400,1,6,1,7,Isoflurane,Ketamine,Xylazine,Isoflurane,Ketamine,Xylazine,Needle,Cortical,No,Unconscious,0,0.3,mg/ml,2,240.7704655,NR,6,NR,NA,NR,Motor training,Not yet classified,192,After stroke,912,Other histology (ex vivo),Cresyl violet,0.0654,8.91,2.1,14.17,0.82,mm3,SEM,0.452054795,0.718924404,5.14392846,0.260980642,2.008581589
O'Neill_2000_a,"O'Neill, M. J.",2000,"LY377770, a novel iGlu5 kainate receptor antagonist with neuroprotective effects in global and focal cerebral ischaemia",a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,300,320,1,11,2,11,Halothane,NA,NA,Halothane,NA,NA,Guide cannula,Cortical,Yes,Unconscious,0,200,pmol,3,200,3.5,1,NR,NA,NR,LY293558,Not yet classified,0,During stroke,72,TTC (ex vivo),NA,<0.05,217.9,13.03,140.83,22.1,mm3,SEM,11.05530188,7.145104008,43.21562102,2.192573365,73.29740787
O'Neill_2000_a,"O'Neill, M. J.",2000,"LY377770, a novel iGlu5 kainate receptor antagonist with neuroprotective effects in global and focal cerebral ischaemia",b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,300,320,1,11,2,11,Halothane,NA,NA,Halothane,NA,NA,Guide cannula,Cortical,Yes,Unconscious,0,200,pmol,3,200,3.5,1,NR,NA,NR,LY377770,Not yet classified,0,During stroke,72,TTC (ex vivo),NA,<0.01,217.9,13.03,119.29,18.14,mm3,SEM,11.05530188,6.052257737,43.21562102,2.192573365,60.1635737
O'Neill_2000_b,"O'Neill, M. J.",2000,"ARL 17477, a selective nitric oxide synthase inhibitor, with neuroprotective effects in animal models of global and focal cerebral ischaemia",a,Rat,NR,NR,None,NA,NR,NR,NR,NR,NR,NR,1,12.5,3,12.5,NR,NA,NA,NR,NA,NA,Guide cannula,Cortical,Yes,Unconscious,0,200,pmol,3,200,3,1,NR,NA,NR,ARL 17477,Not yet classified,0,During stroke,72,Other histology (ex vivo),Cresyl violet,<0.05,95.1,24.17,31.78,7.6,mm3,SEM,4.824961948,1.612379503,85.45385451,4.335558321,26.87005769
Ottani_2003,"Ottani, A.",2003,Effect of gamma-hydroxybutyrate in two rat models of focal cerebral damage,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,215,230,2,6,2,6,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Subcortical,No,Unconscious,0,0.43,nmol,1,430,2,1,NR,NA,NR,GHB (gamma-Hydroxybutyric acid),Not yet classified,2,After stroke,1032,Other histology (ex vivo),H&E,<0.05,2.99,0.1,1.51,0.006,mm3,SEM,0.151699645,0.076610857,0.244948974,0.01242765,0.014696938
Pagnussat_2012,"Pagnussat, A. S.",2012,Effects of skilled and unskilled training on functional recovery and brain plasticity after focal ischemia in adult rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,NA,300,NA,1,11,2,12,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Needle,Both cortical and subcortical,No,Unconscious,0,800,pmol,4,800,8,3,Lidocaine,NA,NR,Motor training,Not yet classified,120,After stroke,1008,Other histology (ex vivo),Cresyl violet,>0.8,83.75,10.3,95,14,mm3,SEM,4.249112126,4.819888382,34.16123534,1.733193066,46.43274706
Park_2000,"Park, L.",2000,Hypoxic modulation of striatal lesions induced by administration of endothelin-1,a,Rat,Long Evans,NR,None,NA,9,10,11,NR,NR,NR,1,8,3,8,Halothane,NA,NA,Halothane,NA,NA,Guide cannula,Subcortical,No,Unconscious,0,40,pmol,1,40,NR,1,NR,NA,NR,Hypoxia,Not yet classified,NR,After stroke,72,Other histology (ex vivo),H&E,<0.01,5.67,1.73,10.41,1.64,mm3,SEM,0.287671233,0.528158295,4.893178926,0.248258697,4.638620485
Pavón-Fuentes_2020,"Pavón-Fuentes, N.",2020,Phycocyanobilin reduces brain injury after endothelin-1- induced focal cerebral ischaemia,a,Rat,Wistar,Male,None,NA,NR,NR,NR,300,335,370,1,5,1,5,Chloral hydrate,NA,NA,Chloral hydrate,NA,NA,Needle,Cortical,Yes,Unconscious,0,600,pmol,3,600,3,1,NR,NA,NR,Phycocyanobilin (PCB),Not yet classified,0.5,After stroke,72,TTC (ex vivo),NA,<0.001,709.6,53.25,312.07,55.73,mm3,SEM,36.00202943,15.83307965,119.0706198,6.041127336,124.6160684
Qu_2014,"Qu, H.",2014,Forced limb-use enhances brain plasticity through the cAMP/PKA/CREB signal transduction pathway after stroke in adult rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,225,250,1,5,2,5,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,NR,Unconscious,0,0.5,ug/uL,6,1203.852327,12,3,NR,NA,NR,Forced limb use,Not yet classified,168,After stroke,792,Other histology (ex vivo),Cresyl violet,>0.05,131.4,13.14,129.4,15.37,mm3,SD,6.666666667,6.565195332,13.14,0.666666667,15.37
Qu_2015,"Qu, H. L.",2015,Forced limb-use enhanced neurogenesis and behavioral recovery after stroke in the aged rats,a,Rat,Sprague-Dawley,Male,Aged,NA,78,82.5,87,600,700,800,1,8,1,8,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,NR,Unconscious,0,0.5,ug/uL,4.5,902.8892456,9,3,Buprenorphine,NA,NR,Forced limb use,Not yet classified,168,After stroke,792,Other histology (ex vivo),Cresyl violet,NS,66.4,12.42,60.5,13.28,mm3,SEM,3.3688483,3.069507864,35.12906489,1.782296544,37.56151222
Rakai_2013,"Rakai, B. D.",2013,Lesion size and behavioral deficits after endothelin-1-induced ischemia are not dependent on time of day,a,Rat,Long Evans,NR,None,NA,NR,NR,NR,NR,NR,NR,2,5,NA,NA,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Guide cannula,Cortical,NR,NR,NR,1,ug/uL,1,401.2841091,5,1,Buprenorphine,NA,NR,None,NA,NA,NA,1104,Other histology (ex vivo),Cresyl violet,>0.05,3.72,1.16,NA,NA,mm3,NR,0.188736682,NA,NA,NA,NA
Riek-Burchardt_2007,"Riek-Burchardt, M.",2007,No improvement of functional and histological outcome after application of the metabotropic glutamate receptor 5 agonist CHPG in a model of endothelin-1-induced focal ischemia in rats,a,Rat,Sprague-Dawley,Male,None,NA,NA,8,NA,300,315,330,1,7,1,9,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Guide cannula,Cortical,NR,Unconscious,0,375,pmol,3,375,5,1,NR,NA,NR,CHPG,Not yet classified,0.17,After stroke,672,Other histology (ex vivo),Toluidine blue,0.174,123.92,9.21,89.4,19.89,mm3,SEM,6.287163876,4.535768645,24.36736957,1.236294753,52.62399358
Schmidt_2012,"Schmidt, W.",2012,Cannabinoid receptor subtypes 1 and 2 mediate long-lasting neuroprotection and improve motor behavior deficits after transient focal cerebral ischemia,a,Rat,Sprague-Dawley,Male,None,NA,NA,8,NA,250,265,280,2,24,3,8,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Guide cannula,Cortical,Yes,Unconscious,0,1.25,nmol,5,1250,3,1,NR,NA,NR,KN38-7271,Not yet classified,-2,Before stroke,168,Other histology (ex vivo),Thionine,<0.001,126.3,22.75073625,77.35,8.858938988,mm3,SD,6.407914764,3.924403856,22.75073625,1.154273782,8.858938988
Schuch_2019,"Schuch, C. P.",2019,An RFID-based activity tracking system to monitor individual rodent behavior in environmental enrichment: Implications for post-stroke cognitive recovery,a,Rat,Sprague-Dawley,Mixed,None,NA,NR,NR,NR,200,225,250,1,6,1,6,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Cortical,NR,Unconscious,0,1600,pmol,3.2,1600,NR,4,NR,NA,NR,Enriched cage environment,Not yet classified,168,After stroke,840,NR,NA,NR,26.84,4.57,26.99,4.73,mm3,SEM,1.361745307,1.369355657,11.19416812,0.567943588,11.58608648
Selvamani_2014,"Selvamani, A.",2014,Circulating miRNA profiles provide a biomarker for severity of stroke outcomes associated with age and sex in a rat model,a,Rat,NR,Female,None,NA,26,28,30,230,275,320,4,6,NA,NA,NR,NA,NA,NR,NA,NA,Needle,Cortical,Yes,Unconscious,0,NR,NA,3,NA,NR,1,NR,NA,NR,None,NA,NA,NA,120,TTC (ex vivo),NA,<0.05,12.6,3.711064537,NA,NA,Direct rLV % hemisphere,SD,6.3,NA,3.711064537,1.855532269,NA
Selvamani_2014,"Selvamani, A.",2014,Circulating miRNA profiles provide a biomarker for severity of stroke outcomes associated with age and sex in a rat model,b,Rat,NR,Female,Aged,NA,43,47.5,52,280,320,360,4,6,NA,NA,NR,NA,NA,NR,NA,NA,Needle,Cortical,Yes,Unconscious,0,NR,NA,3,NA,NR,1,NR,NA,NR,None,NA,NA,NA,120,TTC (ex vivo),NA,NS,42.55,17.37178747,NA,NA,Direct rLV % hemisphere,SD,21.275,NA,17.37178747,8.685893736,NA
Selvamani_2014,"Selvamani, A.",2014,Circulating miRNA profiles provide a biomarker for severity of stroke outcomes associated with age and sex in a rat model,c,Rat,NR,Male,None,NA,26,28,30,230,275,320,4,6,NA,NA,NR,NA,NA,NR,NA,NA,Needle,Cortical,Yes,Unconscious,0,NR,NA,3,NA,NR,1,NR,NA,NR,None,NA,NA,NA,120,TTC (ex vivo),NA,NS,56.25,25.57270029,NA,NA,Direct rLV % hemisphere,SD,28.125,NA,25.57270029,12.78635014,NA
Selvamani_2014,"Selvamani, A.",2014,Circulating miRNA profiles provide a biomarker for severity of stroke outcomes associated with age and sex in a rat model,d,Rat,NR,Male,Aged,NA,43,47.5,52,280,320,360,4,6,NA,NA,NR,NA,NA,NR,NA,NA,Needle,Cortical,Yes,Unconscious,0,NR,NA,3,NA,NR,1,NR,NA,NR,None,NA,NA,NA,120,TTC (ex vivo),NA,NS,56.43333333,20.99996825,NA,NA,Direct rLV % hemisphere,SD,28.21666667,NA,20.99996825,10.49998413,NA
Serhan_2020,"Serhan, A.",2020,Neuroprotection by Insulin-like Growth Factor-1 in Rats with Ischemic Stroke is Associated with Microglial Changes and a Reduction in Neuroinflammation,a,Rat,Wistar,Male,None,NA,6,7,8,275,287.5,300,1,7,3,6,Isoflurane,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,280,pmol,6,280,6,1,Ketoprofen,NA,NR,IGF-1 (insulin-like growth factor 1),Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,<0.001,77.09,2.58,52.14,4.82,mm3,SEM,3.911212582,2.645357686,6.826038383,0.346323611,12.75252132
Serhan_2020,"Serhan, A.",2020,Neuroprotection by Insulin-like Growth Factor-1 in Rats with Ischemic Stroke is Associated with Microglial Changes and a Reduction in Neuroinflammation,b,Rat,Wistar,Male,None,NA,6,7,8,275,287.5,300,1,7,3,7,Isoflurane,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,280,pmol,6,280,6,1,Ketoprofen,NA,NR,Minocycline,Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,NS,77.09,2.58,78.64,3.62,mm3,SEM,3.911212582,3.989852867,6.826038383,0.346323611,9.577619746
Serhan_2019,"Serhan, A.",2019,Insulin-Like Growth Factor-1 Is Neuroprotective in Aged Rats With Ischemic Stroke,a,Rat,Wistar,Male,None,NA,26,28,30,NA,450,NA,1,6,1,5,Isoflurane,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,24,260,pmol,6,260,NR,1,Ketoprofen,NA,NR,IGF-1 (insulin-like growth factor 1),Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,<0.01,86.85,19.03,52.48,13.81,mm3,SD,4.406392694,2.662607813,19.03,0.965499746,13.81
Serhan_2019,"Serhan, A.",2019,Insulin-Like Growth Factor-1 Is Neuroprotective in Aged Rats With Ischemic Stroke,b,Rat,Wistar,Male,Aged,NA,104,106.5,109,NA,450,NA,1,7,1,8,Isoflurane,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,48,120,pmol,6,120,NR,1,Ketoprofen,NA,NR,IGF-1 (insulin-like growth factor 1),Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,<0.05,77.95,22.71,50.33,14.73,mm3,SD,3.954845256,2.553526129,22.71,1.152207002,14.73
Sharkey_1995,"Sharkey, J.",1995,Characterisation of an experimental model of stroke produced by intracerebral microinjection of endothelin-1 adjacent to the rat middle cerebral artery,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,315,350,4,8,1,8,Sodium Pentobarbital,NA,NA,Sodium Pentobarbital,NA,NA,Needle,Cortical,Yes,Unconscious,0,60,pmol,3,60,2,1,NR,NA,NR,MK-801 (dizocilpine maleate),Not yet classified,-0.5,Before stroke,72,Other histology (ex vivo),Cresyl violet,<0.05,129.2,33.98823326,80,46.64761516,mm3,SD,6.555048199,4.058853374,33.98823326,1.72441569,46.64761516
Sharkey_1995,"Sharkey, J.",1995,Characterisation of an experimental model of stroke produced by intracerebral microinjection of endothelin-1 adjacent to the rat middle cerebral artery,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,315,350,4,8,NA,NA,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,60,pmol,3,60,2,1,NR,NA,NR,None,NA,NA,NA,72,Other histology (ex vivo),Cresyl violet,NA,254.63,76.92217366,NA,NA,mm3,SD,12.91882293,NA,76.92217366,3.902697801,NA
Sharkey_1994,"Sharkey, J.",1994,Endothelin-1 induced middle cerebral artery occlusion: pathological consequences and neuroprotective effects of MK801,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,315,350,2,8,NA,NA,Sodium Pentobarbital,NA,NA,Sodium Pentobarbital,NA,NA,Needle,Cortical,Yes,Unconscious,0,60,pmol,3,60,2,1,NR,NA,NR,None,NA,NA,NA,72,Other histology (ex vivo),NR,NA,130,34.98571137,NA,NA,mm3,SD,6.595636733,NA,34.98571137,1.775023408,NA
Sharkey_1994,"Sharkey, J.",1994,Endothelin-1 induced middle cerebral artery occlusion: pathological consequences and neuroprotective effects of MK801,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,315,350,2,6,NA,NA,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,60,pmol,3,60,2,1,NR,NA,NR,None,NA,NA,NA,72,Other histology (ex vivo),NR,NS,135,24.97999199,NA,NA,mm3,SD,6.849315068,NA,24.97999199,1.26737656,NA
Soylu_2012,"Soylu, H.",2012,Intracortical injection of endothelin-1 induces cortical infarcts in mice: effect of neuronal expression of an adenosine transporter,a,Mouse,CD-1,Male,None,NA,8,9,10,35,37.5,40,2,13,2,10,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,NR,Unconscious,0,400,pmol,1,400,NR,1,NR,NA,NR,Caffeine,Not yet classified,-0.5,Before stroke,48,MRI (in vivo),NA,NR,5.4,0.78,6.72,0.97,mm3,SEM,1.061091352,1.320469238,2.812329995,0.55261834,3.497384737
Soylu_2012,"Soylu, H.",2012,Intracortical injection of endothelin-1 induces cortical infarcts in mice: effect of neuronal expression of an adenosine transporter,b,Mouse,hENT1 transgenic,Male,None,NA,8,9,10,35,37.5,40,2,12,2,10,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,NR,Unconscious,0,400,pmol,1,400,NR,1,NR,NA,NR,Caffeine,Not yet classified,-0.5,Before stroke,48,MRI (in vivo),NA,NR,9,1.08,6.19,1,mm3,SEM,1.768485587,1.216325087,3.741229744,0.735145653,3.464101615
Stoop_2017,"Stoop, W.",2017,Post-stroke treatment with 17β-estradiol exerts neuroprotective effects in both normotensive and hypertensive rats,a,Rat,Wistar-Kyoto,Male,None,NA,12,13,14,275,287.5,300,2,7,2,6,Sodium Pentobarbital,NA,NA,Sodium Pentobarbital,NA,NA,Needle,Cortical,Yes,Unconscious,0,200,pmol,NR,200,NR,1,NR,NA,NR,17beta-estradiol,Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,0.0096,55.4,4.6,31.3,6.4,mm3,SD,2.810755961,1.588026383,4.6,0.233384069,6.4
Stoop_2017,"Stoop, W.",2017,Post-stroke treatment with 17β-estradiol exerts neuroprotective effects in both normotensive and hypertensive rats,b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,12,13,14,275,287.5,300,2,5,2,7,Sodium Pentobarbital,NA,NA,Sodium Pentobarbital,NA,NA,Needle,Cortical,Yes,Unconscious,0,200,pmol,NR,200,NR,1,NR,NA,NR,17beta-estradiol,Not yet classified,0.5,After stroke,24,Other histology (ex vivo),Cresyl violet,0.0021,54.9,1.2,37.9,3.3,mm3,SD,2.785388128,1.922881786,1.2,0.060882801,3.3
Sun_2015,"Sun, X.",2015,Fluoxetine enhanced neurogenesis is not translated to functional outcome in stroke rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,225,250,1,8,1,8,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,NR,Unconscious,0,0.5,ug/uL,6,1203.852327,12,3,NR,NA,NR,Fluoxetine,Not yet classified,NR,NR,NR,Other histology (ex vivo),Cresyl violet,>0.05,127.8,9.2,139,12.1,mm3,SEM,6.484018265,7.052257737,26.02152955,1.320219662,34.22396821
Sun_2016,"Sun, X.",2016,"Fluoxetine Enhances Neurogenesis in Aged Rats with Cortical Infarcts, but This is not Reflected in a Behavioral Recovery",a,Rat,Sprague-Dawley,Male,Aged,NA,78,82.5,87,600,700,800,1,8,1,10,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,NR,Unconscious,0,0.5,ug/uL,4.5,902.8892456,9,3,NR,NA,NR,Fluoxetine,Not yet classified,168,After stroke,768,Other histology (ex vivo),Cresyl violet,NS,55.1,7.31,50.6,8.61,mm3,SEM,2.795535261,2.567224759,20.67580228,1.049000623,24.35275754
Sun_2017,"Sun, Y.",2017,dl-3-n-butylphthalide promotes neuroplasticity and motor recovery in stroke rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,225,250,1,10,1,14,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,NR,Unconscious,0,0.5,ug/uL,6,1203.852327,12,3,NR,NA,NR,DL-NBP (Racemic l-3-n-butylphthalide),Not yet classified,120,After stroke,792,Other histology (ex vivo),Cresyl violet,NS,121.9,13.1,109.8,12.3,mm3,SEM,6.184677829,5.570776256,41.42583735,2.101767496,38.89601522
Van_Hemelrijck_2005_a,"Van Hemelrijck, A.",2005,Neuroprotective effect of N-acetyl-aspartyl-glutamate in combination with mild hypothermia in the endothelin-1 rat model of focal cerebral ischaemia,a,Rat,NR,NR,None,NA,NR,NR,NR,250,275,300,1,9,7,5,Ketamine,Diazepam,NA,Sevoflurane,NA,NA,Guide cannula,Cortical,Yes,Unconscious,24,500,pmol,6,500,6,1,NR,NA,NR,Hypothermia,Not yet classified,-0.66,Before stroke,NR,Other histology (ex vivo),Cresyl violet,<0.05,117.98,32.92106013,74.14,15.98330379,mm3,SD,5.985794013,3.761542364,32.92106013,1.67027195,15.98330379
Van_Hemelrijck_2005_a,"Van Hemelrijck, A.",2005,Neuroprotective effect of N-acetyl-aspartyl-glutamate in combination with mild hypothermia in the endothelin-1 rat model of focal cerebral ischaemia,b,Rat,NR,NR,None,NA,NR,NR,NR,250,275,300,1,9,7,5,Ketamine,Diazepam,NA,Sevoflurane,NA,NA,Guide cannula,Cortical,Yes,Unconscious,24,500,pmol,6,500,6,1,NR,NA,NR,NAAG (N-acetyl-aspartyl-glutamate),Not yet classified,-0.66,Before stroke,NR,Other histology (ex vivo),Cresyl violet,<0.05,117.98,32.92106013,76.83,26.43479714,mm3,SD,5.985794013,3.898021309,32.92106013,1.67027195,26.43479714
Vavers_2016,"Vavers, E.",2016,The neuroprotective effects of R-phenibut after focal cerebral ischemia,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,350,375,400,1,18,2,16,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,160,pmol,3.2,160,3.2,1,Tramadol,NA,NR,R-phenibut,Not yet classified,2,After stroke,168,TTC (ex vivo),NA,<0.05,20.23,2.27,14.18,1.13,Direct rLV % hemisphere,SEM,10.115,7.09,9.63079436,4.81539718,4.794183976
Weston_2006,"Weston, R. M.",2006,AM-36 modulates the neutrophil inflammatory response and reduces breakdown of the blood brain barrier after endothelin-1 induced focal brain ischaemia,a,Rat,Long Evans,Male,None,NA,NR,NR,NR,280,290,300,1,6,1,6,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,72,120,pmol,6,120,6,1,NR,NA,NR,AM-36,Not yet classified,3,After stroke,48,Other histology (ex vivo),Callaway 2000 no stain method,<0.01,74.48,17.91,20.37,5.64,mm3,SEM,3.778792491,1.03348554,43.87036129,2.225792049,13.81512215
Weston_2007,"Weston, R. M.",2007,Inflammatory cell infiltration after endothelin-1-induced cerebral ischemia: histochemical and myeloperoxidase correlation with temporal changes in brain injury,a,Rat,Long Evans,Male,None,NA,NR,NR,NR,280,290,300,6,4.5,NA,NA,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,72,120,pmol,6,120,6,1,NR,NA,NR,None,NA,NA,NA,72,Other histology (ex vivo),Callaway 2000 no stain method,NA,88.45,13.77,NA,NA,mm3,SEM,4.487569762,NA,29.21058113,1.482018322,NA
Windle_2005,"Windle, V.",2005,Fluoxetine and recovery of motor function after focal ischemia in rats,a,Rat,Long Evans,Male,None,NA,NR,NR,NR,300,310,320,1,5,2,6,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,NR,3,NR,NA,NR,Motor training,Not yet classified,168,After stroke,1224,Other histology (ex vivo),Cresyl violet,0.6116,30.54,8.9,27.92,4.5,mm3,SEM,1.549467275,1.416539827,19.901005,1.009690766,10.0623059
